Part,Description,Quantity,Manufacturer,Price (EGP),Total Price (EGP),Source ,Part Number,Datasheet
Arduino Mega 2560,"Microcontroller board (ATmega2560, 5V, 16 MHz)",1,Arduino,1250,1250,Arduino MEGA 2560,A000067,https://store.arduino.cc/usa/documents/Arduino_Uno_Rev3_schematics.pdf
16×2 LCD Display,HD44780-compatible 16×2 character LCD,1,Generic,60,60,Character LCD 16x2 Display Module | Makers Electronics,LCD1602A,https://www.sparkfun.com/datasheets/LCD/HD44780.pdf
LM35 Sensor,Analog temperature sensor (10 mV/°C),1,Texas Instruments,75,75,LM35DZ - Original | RAM Electronics website,LM35DZ,LM35 Precision Centigrade Temperature Sensors datasheet (Rev. H)
LDR,Photo-Resistor sensor,1,Generic,20,20,https://store.fut-electronics.com/products/photo-resistor-sensor-ldr-large?_pos=1&_sid=53114eee3&_ss=r,GL5528,
MQ2,Smoke sensor MQ2,1,Generic,95,95,https://store.fut-electronics.com/products/smoke-sensor-module-mq2-digital-analog?_pos=1&_sid=20644edfc&_ss=r,MQ-2,
Keypad,4x3 12 keys keypad ,1,Generic,30,30,https://microohm-eg.com/product/keypad-4x3/?srsltid=AfmBOoqk43ThMJh_EP9VQ7BqTHuY38HOStjdvnU7iibFDphlxCcovfKn,,
Switch,Tactile Push Button Switch,4,Omron,0.75,3,Press 2pin 6x6x9 mm Tack Switch | RAM Electronics website,,https://www.omron.com/ecb/products/pdf/en-b3f.pdf
DC Motor,DC Motor 3-12V,1,Generic,45,45,https://makerselectronics.com/product/dc-motor-r280-3-12v-13750rpm/,,
Resistor,"220 Ohm, 0.25W",2,Yageo,2,4,Carbon Resistance 1/4W (Price per 4 Resistors) | RAM Electronics website,,
Jumper Wires,Jumper Wires,Several,Generic,10,10,PH61 - 20cm Male to Male 40 Jumper Wires Set | RAM Electronics website,,
8V Battery / Supply,External power source for regulator,1,Generic,60,60,18650 Lithium Ion Rechargeable High Quality Battery (3.7V – 1200 mAH) – Future Electronics Egypt,,
Battery Holder,Battery Holder,1,Generic,20,20,2 x 3.7V 18650 Lithium Polymer Battery Holder – Future Electronics Egypt,,
H-Bridge / Regulator,Double H bridge drive,1,Generic,80,80,18650 Lithium Ion Rechargeable High Quality Battery (3.7V – 1200 mAH) – Future Electronics Egypt,L298N,
Potentiometer 10kΩ,LCD contrast adjustment,1,Generic,6,6,Rotary Potentiometer 10KΩ | RAM Electronics website,,
Breadboard,Breadboard,1,Generic,35,35,Breadboard 830 Point (Splitted Power Rails) | Makers Electronics,,
Plastic Fan,Plastic Propeller 3 Blades,1,Generic,20,20,https://makerselectronics.com/product/plastic-propeller-4-blades-56mm/,,
,,,,,1813,,,
