Part,Description,Quantity,Manufacturer,Price (EGP),Total Price (EGP),Source ,Part Number,Datasheet
Microcontroller,Mega2560,1,Atmel,990,990,Arduino Mega2560 Pro Mini Embed CH340G | RAM Electronics website,Mega2560,https://makerselectronics.com/wp-content/uploads/2016/02/A000067-datasheet.pdf
Frequency Oscillator,16 MHz,1,Generic,4,4,Crystal Oscillator 16.000 MHz | RAM Electronics website,O.16MHZ,
NPN Transistor / MOSFET,Fan driver transistor,1,ON Semiconductor,0.75,0.75,Transistor 2N2222 | RAM Electronics website,2N2222A,https://www.onsemi.com/pdf/datasheet/2n2222a-d.pdf
Flyback Diode,Diode across fan,1,Generic,0.5,0.5,1N4007 General Purpose Silicon Diode 1A - 1000V | RAM Electronics website,1N4007,https://www.vishay.com/docs/88503/1n4001.pdf
DC Motor,DC Motor 3-12V,1,Generic,45,45,https://makerselectronics.com/product/dc-motor-r280-3-12v-13750rpm/,,
Plastic Fan,Plastic Propeller 3 Blades,1,Generic,20,20,https://makerselectronics.com/product/plastic-propeller-4-blades-56mm/,,
16×2 LCD Display,HD44780-compatible 16×2 character LCD,1,Generic,60,60,Character LCD 16x2 Display Module | Makers Electronics,LCD1602A,https://www.sparkfun.com/datasheets/LCD/HD44780.pdf
LM35 Sensor,Analog temperature sensor (10 mV/°C),1,Texas Instruments,75,75,LM35DZ - Original | RAM Electronics website,LM35DZ,LM35 Precision Centigrade Temperature Sensors datasheet (Rev. H)
LDR,Photo-Resistor sensor,1,Generic,20,20,https://store.fut-electronics.com/products/photo-resistor-sensor-ldr-large?_pos=1&_sid=53114eee3&_ss=r,,
MQ2,Smoke sensor MQ2,1,Generic,95,95,https://store.fut-electronics.com/products/smoke-sensor-module-mq2-digital-analog?_pos=1&_sid=20644edfc&_ss=r,,
Keypad,4x3 12 keys keypad ,1,Generic,30,30,https://microohm-eg.com/product/keypad-4x3/?srsltid=AfmBOoqk43ThMJh_EP9VQ7BqTHuY38HOStjdvnU7iibFDphlxCcovfKn,,
Switch,Tactile Push Button Switch,4,Omron,0.75,3,Press 2pin 6x6x9 mm Tack Switch | RAM Electronics website,,https://www.omron.com/ecb/products/pdf/en-b3f.pdf
Resistor,"220 Ohm, 0.25W",2,Yageo,2,4,Carbon Resistance 1/4W (Price per 4 Resistors) | RAM Electronics website,,
Jumper Wires,Jumper Wires,Several,Generic,10,10,PH61 - 20cm Male to Male 40 Jumper Wires Set | RAM Electronics website,,
8V Battery / Supply,External power source for regulator,1,Generic,60,60,18650 Lithium Ion Rechargeable High Quality Battery (3.7V – 1200 mAH) – Future Electronics Egypt,,
Battery Holder,Battery Holder,1,Generic,20,20,2 x 3.7V 18650 Lithium Polymer Battery Holder – Future Electronics Egypt,,
H-Bridge / Regulator,Double H bridge drive,1,Generic,80,80,18650 Lithium Ion Rechargeable High Quality Battery (3.7V – 1200 mAH) – Future Electronics Egypt,,
Potentiometer 10kΩ,LCD contrast adjustment,1,Generic,6,6,Rotary Potentiometer 10KΩ | RAM Electronics website,,
Breadboard,Breadboard,1,Generic,35,35,https://makerselectronics.com/product/plastic-propeller-4-blades-56mm/,,
,,,,,1558.25,,,
